BOROUGH,SCHOOL_NAME,NEIGHBORHOOD,INTEREST,METHOD,TOTAL_STUDENTS,GRADUATION_RATE,ATTENDANCE_RATE,COLLEGE_CAREER_RATE,SAFE,SEATS,APPLICANTS,LANGUAGE_CLASSES,ADVANCED_PLACEMENT_COURSES,SCHOOL_SPORTS
Jawa Timur,SMA Negeri 1 Jakarta,Surabaya,Engineering,Ed. Opt.,463,80,84,37,73,82.0,407.0,Bahasa Arab,"Matematika Lanjutan, Fisika",Basket
DKI Jakarta,SMK Teknologi Surabaya,Denpasar,Humanities & Interdisciplinary,Test,678,99,93,85,89,,,Bahasa Arab,"Bahasa Inggris, Biologi",Pencak Silat
Jawa Timur,SMA Negeri 5 Jakarta,Bandung,Humanities & Interdisciplinary,Ed. Opt.,375,58,66,35,79,85.0,218.0,Bahasa Inggris,"Biologi, Fisika","Basket, Renang"
Bali,SMA Negeri 3 Sleman,Jakarta Selatan,Law & Government,Screened,594,74,85,49,74,63.0,494.0,Bahasa Jerman,"Bahasa Inggris, Kimia","Futsal, Renang"
Bali,SMA Negeri 3 Sleman,Jakarta Selatan,Humanities & Interdisciplinary,Screened: Language,417,63,88,53,86,89.0,158.0,Bahasa Inggris,Bahasa Inggris,Renang
Jawa Timur,SMA Negeri 2 Bandung,Surabaya,Performing Arts,Audition,242,96,91,87,85,50.0,306.0,Bahasa Mandarin,Fisika,"Basket, Futsal"
DKI Jakarta,SMA Negeri 2 Bandung,Surabaya,Humanities & Interdisciplinary,Screened,547,81,91,60,83,90.0,430.0,Bahasa Mandarin,"Matematika Lanjutan, Ekonomi, Biologi","Basket, Renang"
Jawa Barat,SMA Negeri 2 Bandung,Bandung,Humanities & Interdisciplinary,Transfer,168,0,76,0,79,33.0,31.0,Bahasa Arab,Fisika,"Bulu Tangkis, Futsal"
Jawa Barat,SMA Plus Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Screened,339,0,0,0,94,75.0,1010.0,Bahasa Jerman,"Matematika Lanjutan, Biologi, Kimia",Renang
Jawa Timur,SMA Labschool Bandung,Bandung,Humanities & Interdisciplinary,Screened,623,99,97,94,98,134.0,4274.0,Bahasa Arab,"Ekonomi, Fisika","Renang, Futsal"
Bali,SMA Negeri 5 Jakarta,Jakarta Selatan,Culinary Arts,Ed. Opt.,208,53,82,30,79,89.0,178.0,Bahasa Mandarin,"Ekonomi, Fisika, Matematika Lanjutan","Pencak Silat, Basket"
Yogyakarta,SMK Informatika Nusantara,Denpasar,Performing Arts,Ed. Opt.,287,73,84,28,77,89.0,151.0,Bahasa Arab,"Kimia, Ekonomi, Matematika Lanjutan","Basket, Pencak Silat"
Jawa Timur,SMK Teknologi Surabaya,Sleman,Humanities & Interdisciplinary,Screened,492,87,92,75,91,45.0,575.0,Bahasa Jepang,"Bahasa Inggris, Ekonomi, Biologi",Basket
DKI Jakarta,SMK Teknologi Surabaya,Sleman,Computer Science & Technology,Ed. Opt.,443,81,84,31,90,45.0,301.0,Bahasa Arab,"Biologi, Matematika Lanjutan, Kimia","Futsal, Pencak Silat"
DKI Jakarta,SMA Negeri 5 Jakarta,Sleman,Computer Science & Technology,Ed. Opt.,351,66,81,37,86,85.0,270.0,Bahasa Arab,"Ekonomi, Kimia",Bulu Tangkis
DKI Jakarta,SMA Plus Nusantara,Jakarta Selatan,Performing Arts,Audition,2809,98,95,82,94,,,Bahasa Jerman,"Bahasa Inggris, Fisika",Renang
Jawa Barat,SMK Informatika Nusantara,Denpasar,Film/Video,Screened,206,69,89,71,78,74.0,623.0,Bahasa Jerman,Kimia,Basket
Jawa Timur,SMA Negeri 1 Jakarta,Denpasar,Humanities & Interdisciplinary,Transfer,205,0,56,0,98,25.0,4.0,Bahasa Arab,Ekonomi,"Bulu Tangkis, Basket"
DKI Jakarta,SMA Negeri 2 Bandung,Surabaya,Visual Art & Design,Ed. Opt.,303,89,88,60,82,67.0,387.0,Bahasa Inggris,"Fisika, Ekonomi","Bulu Tangkis, Futsal"
Jawa Barat,SMA Negeri 3 Sleman,Bandung,Humanities & Interdisciplinary,Ed. Opt.,665,93,92,82,93,87.0,1047.0,Bahasa Mandarin,"Ekonomi, Kimia",Renang
Bali,SMK Pariwisata Bali,Sleman,Health Professions,Ed. Opt.,395,81,88,59,64,85.0,642.0,Bahasa Arab,"Ekonomi, Fisika, Biologi","Pencak Silat, Bulu Tangkis"
Jawa Timur,SMK Pariwisata Bali,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,432,89,85,57,83,85.0,1334.0,Bahasa Jerman,"Matematika Lanjutan, Fisika, Ekonomi","Renang, Pencak Silat"
Yogyakarta,SMK Pariwisata Bali,Denpasar,Project-Based Learning,Screened,411,97,93,78,85,90.0,1345.0,Bahasa Jerman,"Bahasa Inggris, Fisika","Futsal, Renang"
DKI Jakarta,SMA Negeri 5 Jakarta,Jakarta Selatan,Science & Math,Ed. Opt.,373,74,90,57,84,89.0,362.0,Bahasa Inggris,"Bahasa Inggris, Kimia","Pencak Silat, Basket"
Yogyakarta,SMA Labschool Bandung,Sleman,Humanities & Interdisciplinary,Open,476,64,79,54,83,100.0,830.0,Bahasa Arab,Kimia,"Bulu Tangkis, Renang"
Bali,SMK Pariwisata Bali,Sleman,Humanities & Interdisciplinary,Screened,1376,100,95,98,95,129.0,1715.0,Bahasa Jepang,Fisika,"Bulu Tangkis, Futsal"
Jawa Barat,SMA Negeri 3 Sleman,Surabaya,Engineering,Ed. Opt.,346,68,82,46,67,148.0,342.0,Bahasa Arab,Fisika,Futsal
Jawa Barat,SMK Teknologi Surabaya,Sleman,Science & Math,Test,473,100,97,91,93,,,Bahasa Inggris,"Fisika, Matematika Lanjutan, Ekonomi","Basket, Futsal"
Jawa Timur,SMA Negeri 2 Bandung,Bandung,Science & Math,Ed. Opt.,197,61,90,33,75,19.0,103.0,Bahasa Mandarin,Fisika,Bulu Tangkis
Jawa Timur,SMA Labschool Bandung,Denpasar,Health Professions,Open,359,83,83,56,87,89.0,435.0,Bahasa Mandarin,Biologi,"Futsal, Renang"
Jawa Barat,SMA Negeri 3 Sleman,Sleman,Humanities & Interdisciplinary,Open,401,76,88,53,72,116.0,255.0,Bahasa Arab,Bahasa Inggris,Futsal
Yogyakarta,SMK Pariwisata Bali,Jakarta Selatan,Humanities & Interdisciplinary,Ed. Opt.,546,89,88,73,87,55.0,512.0,Bahasa Inggris,Fisika,Futsal
DKI Jakarta,SMA Negeri 2 Bandung,Jakarta Selatan,Humanities & Interdisciplinary,Screened,672,99,94,88,96,131.0,5062.0,Bahasa Mandarin,Bahasa Inggris,"Basket, Bulu Tangkis"
DKI Jakarta,SMA Plus Nusantara,Jakarta Selatan,Science & Math,Screened,1549,67,86,36,81,54.0,215.0,Bahasa Mandarin,Fisika,"Pencak Silat, Basket"
Bali,SMA Negeri 1 Jakarta,Bandung,Humanities & Interdisciplinary,Ed. Opt.,157,66,82,37,85,89.0,207.0,Bahasa Jepang,Fisika,"Basket, Renang"
Bali,SMK Pariwisata Bali,Sleman,Humanities & Interdisciplinary,Screened,632,78,80,56,85,62.0,239.0,Bahasa Jepang,"Ekonomi, Bahasa Inggris, Kimia",Pencak Silat
Yogyakarta,SMA Negeri 1 Jakarta,Bandung,Humanities & Interdisciplinary,Transfer,201,0,68,0,97,50.0,35.0,Bahasa Inggris,Ekonomi,"Pencak Silat, Basket"
Jawa Timur,SMA Negeri 2 Bandung,Jakarta Selatan,Humanities & Interdisciplinary,Open,340,83,87,74,96,67.0,1416.0,Bahasa Arab,Biologi,"Bulu Tangkis, Pencak Silat"
Jawa Barat,SMA Labschool Bandung,Sleman,Science & Math,Open,297,66,80,36,74,90.0,359.0,Bahasa Inggris,"Matematika Lanjutan, Bahasa Inggris","Basket, Bulu Tangkis"
Yogyakarta,SMK Informatika Nusantara,Denpasar,Humanities & Interdisciplinary,Screened,750,99,94,79,90,90.0,1567.0,Bahasa Jerman,"Ekonomi, Matematika Lanjutan, Biologi","Futsal, Basket"
Yogyakarta,SMK Teknologi Surabaya,Sleman,Science & Math,Screened: Language,559,73,86,41,84,65.0,255.0,Bahasa Arab,"Bahasa Inggris, Ekonomi, Fisika",Pencak Silat
DKI Jakarta,SMK Informatika Nusantara,Denpasar,Humanities & Interdisciplinary,Screened: Language,436,62,89,42,93,64.0,216.0,Bahasa Arab,Bahasa Inggris,Futsal
Yogyakarta,SMA Negeri 1 Jakarta,Denpasar,Health Professions,Ed. Opt.,574,60,80,47,66,128.0,291.0,Bahasa Inggris,"Fisika, Matematika Lanjutan","Pencak Silat, Futsal"
Yogyakarta,SMA Negeri 5 Jakarta,Bandung,Computer Science & Technology,Open,2587,73,85,48,75,68.0,255.0,Bahasa Inggris,"Fisika, Ekonomi","Pencak Silat, Futsal"
Bali,SMA Negeri 5 Jakarta,Jakarta Selatan,Computer Science & Technology,Ed. Opt.,285,81,82,48,77,50.0,211.0,Bahasa Jerman,"Ekonomi, Fisika, Kimia",Futsal
Yogyakarta,SMA Labschool Bandung,Sleman,Humanities & Interdisciplinary,Ed. Opt.,1375,73,84,53,87,86.0,804.0,Bahasa Inggris,"Ekonomi, Bahasa Inggris, Biologi",Bulu Tangkis
Bali,SMK Pariwisata Bali,Surabaya,Visual Art & Design,Audition,3024,97,93,84,79,58.0,1057.0,Bahasa Jepang,"Bahasa Inggris, Kimia","Pencak Silat, Futsal"
Bali,SMA Negeri 3 Sleman,Sleman,Humanities & Interdisciplinary,Ed. Opt.,523,70,83,44,86,164.0,250.0,Bahasa Arab,"Kimia, Matematika Lanjutan","Renang, Futsal"
Jawa Barat,SMK Informatika Nusantara,Sleman,Engineering,Ed. Opt.,410,63,83,48,64,85.0,681.0,Bahasa Inggris,"Ekonomi, Matematika Lanjutan","Futsal, Basket"
Yogyakarta,SMA Labschool Bandung,Sleman,Health Professions,Ed. Opt.,315,93,93,87,88,85.0,1155.0,Bahasa Jerman,"Bahasa Inggris, Kimia",Renang
Bali,SMK Teknologi Surabaya,Sleman,Humanities & Interdisciplinary,Screened,657,98,91,89,79,89.0,1415.0,Bahasa Mandarin,"Kimia, Bahasa Inggris, Matematika Lanjutan",Bulu Tangkis
Jawa Timur,SMA Labschool Bandung,Surabaya,Law & Government,Ed. Opt.,281,74,83,0,86,90.0,198.0,Bahasa Jerman,"Ekonomi, Fisika, Matematika Lanjutan","Futsal, Pencak Silat"
Jawa Timur,SMK Pariwisata Bali,Sleman,Environmental Science,Ed. Opt.,272,70,80,44,80,89.0,194.0,Bahasa Inggris,Kimia,"Bulu Tangkis, Pencak Silat"
Jawa Timur,SMA Plus Nusantara,Bandung,Health Professions,Screened,1819,94,92,72,93,155.0,1790.0,Bahasa Jerman,Kimia,Renang
Jawa Barat,SMK Informatika Nusantara,Bandung,Humanities & Interdisciplinary,Open,273,0,78,0,81,89.0,165.0,Bahasa Mandarin,Fisika,Renang
Jawa Timur,SMA Negeri 3 Sleman,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,756,81,90,67,82,125.0,372.0,Bahasa Inggris,"Ekonomi, Kimia",Pencak Silat
Bali,SMA Negeri 1 Jakarta,Bandung,Performing Arts,Open,450,54,86,41,76,21.0,214.0,Bahasa Jerman,"Kimia, Matematika Lanjutan","Renang, Futsal"
Jawa Barat,SMA Negeri 1 Jakarta,Bandung,Law & Government,Ed. Opt.,771,85,91,71,81,27.0,1135.0,Bahasa Arab,"Bahasa Inggris, Matematika Lanjutan, Biologi",Futsal
Bali,SMA Negeri 1 Jakarta,Sleman,Engineering,Ed. Opt.,792,77,87,30,77,27.0,126.0,Bahasa Mandarin,"Kimia, Bahasa Inggris, Matematika Lanjutan",Renang
Bali,SMK Informatika Nusantara,Bandung,Communications,Screened: Language,323,96,89,74,91,25.0,531.0,Bahasa Jepang,Matematika Lanjutan,"Renang, Futsal"
Yogyakarta,SMK Teknologi Surabaya,Denpasar,Visual Art & Design,Audition,370,69,76,45,85,19.0,110.0,Bahasa Jepang,Kimia,"Renang, Futsal"
Jawa Barat,SMA Negeri 3 Sleman,Surabaya,"Hospitality, Travel, & Tourism",Ed. Opt.,465,90,93,70,92,66.0,212.0,Bahasa Mandarin,Bahasa Inggris,"Bulu Tangkis, Pencak Silat"
DKI Jakarta,SMA Plus Nusantara,Surabaya,Health Professions,Ed. Opt.,424,93,91,69,87,89.0,822.0,Bahasa Jerman,"Fisika, Kimia, Matematika Lanjutan",Bulu Tangkis
Yogyakarta,SMA Plus Nusantara,Sleman,Computer Science & Technology,Ed. Opt.,713,73,84,45,77,50.0,336.0,Bahasa Mandarin,Bahasa Inggris,"Futsal, Bulu Tangkis"
Yogyakarta,SMK Pariwisata Bali,Denpasar,Health Professions,Ed. Opt.,3563,80,87,59,71,124.0,1305.0,Bahasa Jerman,"Fisika, Bahasa Inggris, Matematika Lanjutan",Futsal
DKI Jakarta,SMK Pariwisata Bali,Sleman,Law & Government,Ed. Opt.,330,55,79,53,95,64.0,433.0,Bahasa Jerman,"Kimia, Fisika, Matematika Lanjutan",Pencak Silat
Jawa Timur,SMA Negeri 1 Jakarta,Bandung,Health Professions,Screened: Language,307,61,88,0,85,68.0,328.0,Bahasa Mandarin,"Biologi, Matematika Lanjutan, Bahasa Inggris","Renang, Basket"
Yogyakarta,SMK Teknologi Surabaya,Jakarta Selatan,Humanities & Interdisciplinary,Open,349,47,83,34,69,90.0,165.0,Bahasa Mandarin,"Biologi, Ekonomi",Futsal
Jawa Timur,SMK Pariwisata Bali,Jakarta Selatan,Humanities & Interdisciplinary,Ed. Opt.,405,64,91,39,76,85.0,306.0,Bahasa Jerman,Fisika,Bulu Tangkis
DKI Jakarta,SMK Pariwisata Bali,Denpasar,Humanities & Interdisciplinary,Ed. Opt.,396,67,85,33,80,75.0,365.0,Bahasa Jerman,"Matematika Lanjutan, Ekonomi",Pencak Silat
DKI Jakarta,SMA Labschool Bandung,Jakarta Selatan,Computer Science & Technology,Ed. Opt.,386,0,89,0,86,90.0,458.0,Bahasa Jerman,"Matematika Lanjutan, Biologi",Bulu Tangkis
Jawa Timur,SMA Negeri 1 Jakarta,Denpasar,Performing Arts,Audition,278,75,81,40,91,27.0,82.0,Bahasa Jepang,"Ekonomi, Fisika",Bulu Tangkis
Jawa Barat,SMA Negeri 1 Jakarta,Denpasar,Humanities & Interdisciplinary,Screened,437,90,93,82,89,42.0,1464.0,Bahasa Arab,"Ekonomi, Biologi","Futsal, Renang"
Jawa Timur,SMA Negeri 5 Jakarta,Bandung,Health Professions,Ed. Opt.,420,89,89,0,86,90.0,301.0,Bahasa Inggris,"Bahasa Inggris, Ekonomi, Biologi",Futsal
Jawa Timur,SMA Negeri 3 Sleman,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,649,93,91,87,90,47.0,550.0,Bahasa Jepang,Biologi,"Renang, Bulu Tangkis"
Yogyakarta,SMK Informatika Nusantara,Denpasar,Law & Government,Ed. Opt.,544,73,88,42,79,119.0,490.0,Bahasa Inggris,"Matematika Lanjutan, Bahasa Inggris","Pencak Silat, Renang"
Jawa Barat,SMK Pariwisata Bali,Bandung,Culinary Arts,Ed. Opt.,2309,80,88,57,80,91.0,560.0,Bahasa Jerman,"Fisika, Bahasa Inggris",Futsal
DKI Jakarta,SMK Teknologi Surabaya,Denpasar,Humanities & Interdisciplinary,Ed. Opt.,270,67,85,57,76,67.0,82.0,Bahasa Arab,Ekonomi,Futsal
Yogyakarta,SMA Negeri 5 Jakarta,Jakarta Selatan,Engineering,Open,334,63,82,24,83,167.0,180.0,Bahasa Inggris,"Fisika, Biologi, Kimia",Futsal
Jawa Barat,SMA Labschool Bandung,Sleman,Humanities & Interdisciplinary,Transfer,225,0,53,0,100,25.0,5.0,Bahasa Inggris,Bahasa Inggris,"Renang, Bulu Tangkis"
Bali,SMK Teknologi Surabaya,Bandung,Science & Math,Ed. Opt.,415,71,80,41,76,125.0,312.0,Bahasa Jerman,"Matematika Lanjutan, Kimia",Basket
Jawa Timur,SMA Negeri 5 Jakarta,Surabaya,Computer Science & Technology,Open,417,82,89,65,81,90.0,613.0,Bahasa Inggris,Bahasa Inggris,Basket
Jawa Barat,SMK Teknologi Surabaya,Bandung,Humanities & Interdisciplinary,Screened,456,99,98,91,93,83.0,4854.0,Bahasa Jerman,"Fisika, Matematika Lanjutan","Pencak Silat, Bulu Tangkis"
DKI Jakarta,SMK Pariwisata Bali,Surabaya,Computer Science & Technology,Screened,1003,86,91,78,85,107.0,1026.0,Bahasa Inggris,Fisika,Pencak Silat
Yogyakarta,SMA Negeri 2 Bandung,Surabaya,Performing Arts/Visual Art & Design,Ed. Opt.,221,78,81,60,82,89.0,369.0,Bahasa Inggris,Biologi,Futsal
Bali,SMA Plus Nusantara,Denpasar,Communications,Ed. Opt.,621,93,92,65,94,117.0,979.0,Bahasa Inggris,"Bahasa Inggris, Fisika",Pencak Silat
Jawa Timur,SMA Plus Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Screened: Language,337,67,89,51,83,74.0,177.0,Bahasa Inggris,"Biologi, Matematika Lanjutan, Kimia","Bulu Tangkis, Futsal"
Jawa Barat,SMA Negeri 3 Sleman,Jakarta Selatan,Science & Math,Ed. Opt.,511,83,88,73,85,90.0,1701.0,Bahasa Jepang,"Bahasa Inggris, Ekonomi",Renang
Yogyakarta,SMK Pariwisata Bali,Sleman,Business,Ed. Opt.,135,66,78,26,85,89.0,190.0,Bahasa Jepang,"Fisika, Ekonomi, Bahasa Inggris","Pencak Silat, Futsal"
Yogyakarta,SMA Negeri 3 Sleman,Jakarta Selatan,Visual Art & Design,Screened,2133,89,93,73,87,86.0,1348.0,Bahasa Arab,"Biologi, Fisika, Matematika Lanjutan",Renang
Yogyakarta,SMA Negeri 2 Bandung,Surabaya,Communications,Ed. Opt.,408,46,90,35,72,124.0,359.0,Bahasa Mandarin,"Matematika Lanjutan, Fisika",Basket
Jawa Barat,SMA Plus Nusantara,Denpasar,Science & Math,Ed. Opt.,463,62,87,39,80,145.0,563.0,Bahasa Mandarin,"Kimia, Ekonomi, Bahasa Inggris","Renang, Pencak Silat"
Jawa Timur,SMA Plus Nusantara,Bandung,Health Professions,Ed. Opt.,489,57,82,68,71,106.0,458.0,Bahasa Arab,"Kimia, Fisika",Basket
Jawa Barat,SMK Informatika Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Ed. Opt.,148,74,79,49,89,98.0,114.0,Bahasa Arab,"Fisika, Bahasa Inggris","Futsal, Bulu Tangkis"
Bali,SMA Plus Nusantara,Jakarta Selatan,Project-Based Learning,Open,841,97,93,90,90,90.0,2044.0,Bahasa Inggris,"Kimia, Biologi, Matematika Lanjutan","Futsal, Bulu Tangkis"
Jawa Timur,SMA Negeri 2 Bandung,Surabaya,Science & Math,Ed. Opt.,686,63,78,43,70,61.0,272.0,Bahasa Arab,"Ekonomi, Matematika Lanjutan, Bahasa Inggris","Basket, Pencak Silat"
DKI Jakarta,SMK Informatika Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Ed. Opt.,354,82,84,49,72,89.0,209.0,Bahasa Arab,"Ekonomi, Bahasa Inggris, Matematika Lanjutan","Pencak Silat, Bulu Tangkis"
DKI Jakarta,SMK Informatika Nusantara,Bandung,Business,Ed. Opt.,1921,71,90,49,85,90.0,369.0,Bahasa Mandarin,"Biologi, Ekonomi","Renang, Basket"
Jawa Timur,SMA Plus Nusantara,Sleman,Humanities & Interdisciplinary,Ed. Opt.,1681,69,87,42,80,109.0,394.0,Bahasa Jerman,Biologi,Basket
Yogyakarta,SMA Negeri 2 Bandung,Surabaya,Business,Ed. Opt.,515,72,77,57,88,98.0,776.0,Bahasa Mandarin,"Matematika Lanjutan, Biologi",Pencak Silat
DKI Jakarta,SMK Informatika Nusantara,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,271,63,85,50,78,67.0,231.0,Bahasa Mandarin,Bahasa Inggris,"Basket, Renang"
Jawa Barat,SMA Negeri 5 Jakarta,Surabaya,Humanities & Interdisciplinary,Screened: Language & Academics,396,100,98,86,92,90.0,1232.0,Bahasa Jerman,Kimia,Renang
Yogyakarta,SMA Negeri 2 Bandung,Surabaya,Humanities & Interdisciplinary,Open,1230,77,87,51,90,267.0,640.0,Bahasa Arab,Biologi,Basket
Jawa Barat,SMA Labschool Bandung,Surabaya,Communications,Ed. Opt.,367,0,92,0,86,93.0,689.0,Bahasa Jerman,Biologi,Basket
Jawa Timur,SMA Negeri 2 Bandung,Jakarta Selatan,Humanities & Interdisciplinary,Ed. Opt.,815,77,84,56,87,67.0,448.0,Bahasa Arab,"Kimia, Matematika Lanjutan","Pencak Silat, Futsal"
Bali,SMA Labschool Bandung,Denpasar,Humanities & Interdisciplinary,Screened: Language,354,80,92,63,89,67.0,542.0,Bahasa Mandarin,Kimia,Basket
Bali,SMA Negeri 5 Jakarta,Bandung,Health Professions,Screened,508,84,91,77,87,64.0,1202.0,Bahasa Jerman,"Fisika, Matematika Lanjutan","Futsal, Pencak Silat"
DKI Jakarta,SMA Negeri 2 Bandung,Surabaya,Humanities & Interdisciplinary,Screened,406,100,88,97,86,77.0,432.0,Bahasa Jerman,Biologi,Renang
Yogyakarta,SMK Pariwisata Bali,Jakarta Selatan,Engineering,Ed. Opt.,504,54,76,38,51,106.0,366.0,Bahasa Arab,"Matematika Lanjutan, Bahasa Inggris","Bulu Tangkis, Renang"
DKI Jakarta,SMK Teknologi Surabaya,Denpasar,Humanities & Interdisciplinary,Ed. Opt.,358,53,78,48,83,64.0,268.0,Bahasa Mandarin,"Biologi, Bahasa Inggris, Matematika Lanjutan","Basket, Renang"
DKI Jakarta,SMA Labschool Bandung,Jakarta Selatan,Business,Ed. Opt.,255,70,86,53,70,67.0,215.0,Bahasa Arab,Kimia,"Pencak Silat, Futsal"
Bali,SMA Negeri 5 Jakarta,Jakarta Selatan,Project-Based Learning,Ed. Opt.,553,51,80,0,86,118.0,1325.0,Bahasa Jerman,"Biologi, Kimia, Fisika",Renang
Jawa Barat,SMK Pariwisata Bali,Surabaya,Law & Government,Ed. Opt.,1692,60,85,42,76,119.0,538.0,Bahasa Inggris,Matematika Lanjutan,Bulu Tangkis
DKI Jakarta,SMA Negeri 1 Jakarta,Surabaya,Computer Science & Technology,Ed. Opt.,1007,84,90,59,83,192.0,1257.0,Bahasa Mandarin,Biologi,"Basket, Bulu Tangkis"
Bali,SMA Negeri 1 Jakarta,Jakarta Selatan,Law & Government,Screened,2394,72,89,52,78,83.0,418.0,Bahasa Jerman,Fisika,"Basket, Bulu Tangkis"
Jawa Barat,SMK Pariwisata Bali,Surabaya,Humanities & Interdisciplinary,Screened: Language,470,57,87,32,84,85.0,231.0,Bahasa Jerman,"Matematika Lanjutan, Biologi","Futsal, Bulu Tangkis"
DKI Jakarta,SMA Negeri 3 Sleman,Jakarta Selatan,Science & Math,Screened: Language & Academics,524,69,92,49,95,91.0,273.0,Bahasa Jerman,"Kimia, Fisika, Matematika Lanjutan",Pencak Silat
Jawa Timur,SMK Informatika Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Ed. Opt.,501,90,90,68,82,93.0,3049.0,Bahasa Jepang,"Matematika Lanjutan, Ekonomi, Fisika",Futsal
Yogyakarta,SMA Negeri 2 Bandung,Jakarta Selatan,Science & Math,Screened,442,99,97,88,95,90.0,4731.0,Bahasa Mandarin,"Bahasa Inggris, Biologi, Matematika Lanjutan",Bulu Tangkis
DKI Jakarta,SMA Negeri 2 Bandung,Sleman,Humanities & Interdisciplinary,Screened,1362,82,89,59,77,133.0,867.0,Bahasa Inggris,"Fisika, Bahasa Inggris, Matematika Lanjutan","Bulu Tangkis, Renang"
Jawa Barat,SMA Plus Nusantara,Denpasar,Law & Government,Ed. Opt.,335,64,77,30,82,137.0,171.0,Bahasa Mandarin,"Ekonomi, Matematika Lanjutan, Biologi","Pencak Silat, Futsal"
DKI Jakarta,SMK Pariwisata Bali,Sleman,Computer Science & Technology,Screened,3657,83,94,64,75,74.0,3551.0,Bahasa Inggris,"Bahasa Inggris, Biologi","Pencak Silat, Renang"
Jawa Timur,SMA Labschool Bandung,Bandung,Humanities & Interdisciplinary,Ed. Opt.,439,91,91,79,92,86.0,445.0,Bahasa Inggris,Matematika Lanjutan,Renang
Yogyakarta,SMA Negeri 1 Jakarta,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,498,71,87,40,87,104.0,360.0,Bahasa Jerman,"Matematika Lanjutan, Bahasa Inggris, Biologi",Basket
Bali,SMA Negeri 3 Sleman,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,327,81,82,72,76,111.0,383.0,Bahasa Jerman,Fisika,Basket
Jawa Barat,SMK Pariwisata Bali,Surabaya,Science & Math,Ed. Opt.,616,90,90,81,76,94.0,2017.0,Bahasa Mandarin,"Bahasa Inggris, Ekonomi, Fisika",Bulu Tangkis
DKI Jakarta,SMK Pariwisata Bali,Sleman,Humanities & Interdisciplinary,Ed. Opt.,429,64,81,50,82,85.0,308.0,Bahasa Jepang,"Fisika, Ekonomi, Matematika Lanjutan","Renang, Bulu Tangkis"
DKI Jakarta,SMA Negeri 1 Jakarta,Bandung,Humanities & Interdisciplinary,Screened,588,99,95,98,96,124.0,4299.0,Bahasa Jerman,Biologi,"Pencak Silat, Basket"
Yogyakarta,SMK Pariwisata Bali,Bandung,Culinary Arts,Ed. Opt.,458,71,82,22,78,46.0,158.0,Bahasa Jerman,"Bahasa Inggris, Matematika Lanjutan",Bulu Tangkis
DKI Jakarta,SMK Teknologi Surabaya,Surabaya,Humanities & Interdisciplinary,Open,487,87,85,79,83,90.0,2151.0,Bahasa Inggris,"Matematika Lanjutan, Fisika, Ekonomi","Futsal, Renang"
Yogyakarta,SMA Negeri 5 Jakarta,Sleman,Humanities & Interdisciplinary,Open,441,74,92,49,85,99.0,307.0,Bahasa Jepang,Kimia,"Futsal, Renang"
Yogyakarta,SMA Negeri 3 Sleman,Bandung,Humanities & Interdisciplinary,Screened,235,0,85,0,86,41.0,448.0,Bahasa Arab,Fisika,"Pencak Silat, Renang"
DKI Jakarta,SMK Teknologi Surabaya,Sleman,Humanities & Interdisciplinary,Ed. Opt.,427,76,83,0,87,89.0,179.0,Bahasa Jepang,"Ekonomi, Bahasa Inggris",Renang
DKI Jakarta,SMK Teknologi Surabaya,Surabaya,Business,Ed. Opt.,423,86,87,77,88,90.0,1261.0,Bahasa Jerman,"Bahasa Inggris, Fisika","Bulu Tangkis, Basket"
Jawa Timur,SMA Plus Nusantara,Jakarta Selatan,Performing Arts,Ed. Opt.,389,66,78,46,85,37.0,425.0,Bahasa Inggris,"Biologi, Matematika Lanjutan","Futsal, Renang"
DKI Jakarta,SMA Plus Nusantara,Bandung,Performing Arts,Audition,314,98,95,0,95,33.0,283.0,Bahasa Arab,"Matematika Lanjutan, Bahasa Inggris, Kimia",Futsal
DKI Jakarta,SMA Negeri 3 Sleman,Surabaya,Performing Arts/Visual Art & Design,Ed. Opt.,362,83,82,46,72,99.0,351.0,Bahasa Inggris,Bahasa Inggris,"Basket, Renang"
Jawa Timur,SMA Plus Nusantara,Surabaya,Film/Video,Screened,290,96,89,60,91,64.0,923.0,Bahasa Mandarin,"Fisika, Ekonomi, Matematika Lanjutan",Futsal
Yogyakarta,SMK Teknologi Surabaya,Sleman,Computer Science & Technology,Screened,364,98,93,88,91,34.0,1889.0,Bahasa Inggris,"Bahasa Inggris, Ekonomi",Basket
Yogyakarta,SMA Labschool Bandung,Denpasar,Humanities & Interdisciplinary,Screened,666,99,96,91,95,139.0,5030.0,Bahasa Arab,"Matematika Lanjutan, Biologi, Kimia",Basket
Bali,SMA Labschool Bandung,Denpasar,Humanities & Interdisciplinary,For Continuing 8th Graders,607,87,84,54,75,,,Bahasa Arab,"Bahasa Inggris, Fisika",Futsal
